,Unnamed: 0.1,Unnamed: 0,company_name,sector,financial_risk_profile,circa_rating,business_description,ffo_to_debt_ltm,debt_to_ebitda_ltm,cfo_to_debt_ltm,focf_to_debt_ltm,dcf_to_debt_ltm,ffo_interest_coverage_ltm,ebitda_to_interest_ltm,ebit_margin_ltm,ebitda_margin_ltm,return_on_capital_ltm,ticker
10,10,10,L3Harris Technologies Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"L3Harris Technologies, Inc. provides mission-critical solutions for government and commercial customers worldwide.",0.15,3.63,0.16,0.12,0.23,3.86,6.8,11.9,17.9,4.87,LHX
11,11,11,Leidos Holdings Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"Leidos Holdings, Inc., together with its subsidiaries, provides services and solutions in the defense, intelligence, civil, and health markets in the United States and internationally.",0.22,2.51,0.26,0.21,0.31,5.5,8.58,8.43,10.6,8.32,LDOS
12,12,12,Lockheed Martin Corp.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide.",0.42,1.64,0.46,0.36,0.89,8.65,11.5,13.4,15.1,22.5,LMT
13,13,13,Moog Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"Moog Inc. designs, manufactures, and integrates precision motion and fluid controls and controls systems for original equipment manufacturers and end users in the aerospace, defense, and industrial markets in the United States and internationally.",0.18,2.09,0.2,0.01,0.09,2.8,6.73,9.64,12.4,7.73,MOG-A
14,14,14,Northrop Grumman Corp.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"Northrop Grumman Corporation operates as an aerospace and defense technology company in the United States, Asia/Pacific, Europe, and internationally.",0.24,2.83,0.31,0.17,0.38,7.11,8.18,6.73,10.1,5.41,NOC
15,15,15,Science Applications International Corp.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"Science Applications International Corporation provides technical, engineering, and enterprise information technology (IT) services primarily in the United States.",0.2,2.77,0.2,0.19,0.36,3.68,5.79,7.32,9.12,8.32,SAIC
16,16,16,Textron Inc.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"Textron Inc. operates in the aircraft, defense, industrial, and finance businesses worldwide.",0.3,1.23,0.59,0.4,0.96,20.4,28.0,9.32,12.2,7.15,TXT
17,17,17,Triumph Group Inc.,AEROSPACE & DEFENSE,[6] Highly leveraged,[3] Intermediate risk,"Triumph Group, Inc. designs, engineers, manufactures, repairs, overhauls, and distributes aerostructures, aircraft components, accessories, subassemblies, and systems worldwide.",-0.0,7.78,-0.01,-0.02,-0.02,-0.06,1.27,10.3,12.7,9.6,TGI
18,18,18,Darling Ingredients Inc.,AGRIBUSINESS & COMMODITY FOODS,[4] Significant,[3] Intermediate risk,"Darling Ingredients Inc. develops, produces, and sells natural ingredients from edible and inedible bio-nutrients in North America, Europe, China, South America, and internationally.",0.19,3.91,0.25,0.1,0.13,3.62,4.86,8.4,15.3,4.49,DAR
19,19,19,Dole PLC,AGRIBUSINESS & COMMODITY FOODS,[4] Significant,[3] Intermediate risk,"Dole plc engages in sourcing, processing, marketing, and distribution of fresh fruit and vegetables worldwide.",0.15,2.63,0.19,0.12,0.14,2.48,5.4,1.82,3.16,3.71,DOLE
20,20,20,Ingredion Inc.,AGRIBUSINESS & COMMODITY FOODS,[3] Intermediate,[3] Intermediate risk,"Ingredion Incorporated, together with its subsidiaries, manufactures and sells sweeteners, starches, nutrition ingredients, and biomaterial solutions derived from wet milling and processing corn, and other starch-based materials to a range of industries in North America, South America, the Asia Pacific, Europe, the Middle East, and Africa.",0.44,1.57,0.53,0.37,0.52,9.27,11.2,11.8,14.5,10.1,INGR
21,21,21,Lamb Weston Holdings Inc.,AGRIBUSINESS & COMMODITY FOODS,[4] Significant,[3] Intermediate risk,"Lamb Weston Holdings, Inc. produces, distributes, and markets frozen potato products worldwide.",0.26,2.5,0.28,0.0,0.1,7.85,12.0,17.7,21.7,16.3,LW
22,22,22,Pilgrim's Pride Corp.,AGRIBUSINESS & COMMODITY FOODS,[3] Intermediate,[3] Intermediate risk,"Pilgrim's Pride Corporation engages in the production, processing, marketing and distribution of fresh, frozen and value-added chicken, and pork products to retailers, distributors, and foodservice operators in the United States, the United Kingdom, Mexico, the Middle East, Asia, Continental Europe, and internationally.",0.19,2.44,0.24,0.05,0.05,3.35,5.77,3.26,5.68,5.35,PPC
23,23,23,Tyson Foods Inc.,AGRIBUSINESS & COMMODITY FOODS,[3] Intermediate,[3] Intermediate risk,"Tyson Foods, Inc., together with its subsidiaries, operates as a food company worldwide.",0.24,2.86,0.24,0.06,0.14,6.09,7.53,1.29,3.93,1.52,TSN
24,24,24,Universal Corp.,AGRIBUSINESS & COMMODITY FOODS,[3] Intermediate,[3] Intermediate risk,Universal Corporation processes and supplies leaf tobacco and plant-based ingredients worldwide.,0.12,3.24,0.16,0.08,0.19,1.97,4.52,7.85,10.0,5.38,UVV
25,25,25,Ford Motor Co.,AUTO OEM,[4] Significant,[4] Moderately high risk,"Ford Motor Company develops, delivers, and services a range of Ford trucks, commercial cars and vans, sport utility vehicles, and Lincoln luxury vehicles worldwide.",0.1,9.8,0.12,0.05,0.08,11.3,9.48,3.04,6.71,1.78,F
26,26,26,General Motors Co.,AUTO OEM,[3] Intermediate,[4] Moderately high risk,"General Motors Company designs, builds, and sells trucks, crossovers, cars, and automobile parts; and provide software-enabled services and subscriptions worldwide.",0.17,6.31,0.21,0.1,0.21,23.0,17.7,5.6,9.19,3.17,GM
27,27,27,PACCAR Inc.,AUTO OEM,[1] Minimal,[4] Moderately high risk,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Canada, Europe, Mexico, South America, Australia, and internationally.",0.29,0.89,0.72,0.51,0.77,234.1,0.0,17.2,18.4,13.7,PCAR
28,28,28,Tesla Inc.,AUTO OEM,[2] Modest,[4] Moderately high risk,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally.",1.39,0.0,-0.68,-0.22,-0.22,85.0,94.3,9.19,14.0,8.9,TSLA
29,29,29,Adient PLC,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks.",0.24,1.95,0.4,0.25,0.35,3.44,4.79,2.9,5.13,5.1,ADNT
30,30,30,American Axle & Manufacturing Holdings Inc.,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles.",0.13,3.57,0.16,0.08,0.09,1.96,3.46,2.82,10.8,2.91,AXL
31,31,31,Aptiv PLC,AUTO SUPPLIERS,[3] Intermediate,[4] Moderately high risk,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, Middle East, Africa, the Asia Pacific, South America, and internationally.",0.28,1.77,0.37,0.19,0.28,6.65,10.2,9.18,13.7,6.63,APTV
32,32,32,BorgWarner Inc.,AUTO SUPPLIERS,[3] Intermediate,[4] Moderately high risk,"BorgWarner Inc., together with its subsidiaries, provides solutions for combustion, hybrid, and electric vehicles worldwide.",0.35,1.27,0.58,0.24,0.36,19.0,25.9,8.79,12.9,7.15,BWA
33,33,33,Commercial Vehicle Group Inc.,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"Commercial Vehicle Group, Inc., together with its subsidiaries, designs, manufactures, produces, and sells components and assemblies in North America, Europe, and the Asia-Pacific regions.",0.35,2.08,0.44,0.29,0.3,5.79,5.78,3.0,4.76,5.56,CVGI
34,34,34,Cooper-Standard Holdings Inc.,AUTO SUPPLIERS,[6] Highly leveraged,[4] Moderately high risk,"Cooper-Standard Holdings Inc., through its subsidiary, Cooper-Standard Automotive Inc., manufactures and sells sealing, fuel and brake delivery, and fluid transfer systems in the United States, Mexico, China, Poland, Canada, Germany, France, and internationally.",0.1,5.04,0.11,0.04,0.04,0.9,1.58,2.18,6.08,3.28,CPS
35,35,35,Dana Inc.,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"Dana Incorporated, together with its subsidiaries, provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific.",0.16,2.97,0.19,-0.01,0.01,3.09,5.4,3.33,7.27,4.69,DAN
36,36,36,Goodyear Tire & Rubber Co. (The),AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"The Goodyear Tire & Rubber Company, together with its subsidiaries, develops, manufactures, distributes, and sells tires and related products and services worldwide.",0.12,4.29,0.13,-0.0,-0.0,1.94,3.39,2.66,7.47,2.4,GT
37,37,37,Holley Inc.,AUTO SUPPLIERS,[6] Highly leveraged,[4] Moderately high risk,"Holley Inc. operates as designer, marketer, and manufacturer of automotive aftermarket products for car and truck enthusiasts.",0.09,5.8,0.09,0.08,0.08,1.03,1.88,10.6,14.5,4.03,HLLY
38,38,38,Lear Corp.,AUTO SUPPLIERS,[3] Intermediate,[4] Moderately high risk,"Lear Corporation designs, develops, engineers, manufactures, assembles, and supplies automotive seating, and electrical distribution systems and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America.",0.35,1.22,0.55,0.27,0.48,12.4,18.5,4.49,7.06,7.85,LEA
39,39,39,LKQ Corp.,AUTO SUPPLIERS,[3] Intermediate,[4] Moderately high risk,"LKQ Corporation engages in the distribution of replacement parts, components, and systems used in the repair and maintenance of vehicles and specialty vehicle aftermarket products and accessories.",0.24,2.45,0.25,0.19,0.25,6.34,10.2,10.3,12.6,8.39,LKQ
40,40,40,PHINIA Inc.,AUTO SUPPLIERS,[2] Modest,[4] Moderately high risk,"PHINIA Inc. engages in the development, design, and manufacture of integrated components and systems that optimize performance, increase efficiency, and reduce emissions in combustion and hybrid propulsion for commercial and light vehicles, and industrial applications.",0.31,1.41,0.58,0.23,0.34,4.46,5.5,7.51,8.8,6.03,PHIN
41,41,41,Stoneridge Inc.,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"Stoneridge, Inc., together with its subsidiaries, designs and manufactures engineered electrical and electronic components, modules, and systems for the automotive, commercial, off-highway, motorcycle, and agricultural vehicle markets in North America, South America, Europe, and internationally.",0.13,2.8,0.2,-0.09,-0.08,2.21,4.91,1.76,5.15,2.36,SRI
42,42,42,Superior Industries International Inc.,AUTO SUPPLIERS,[6] Highly leveraged,[4] Moderately high risk,"Superior Industries International, Inc., together with its subsidiaries, designs, manufactures, and sells aluminum wheels to the original equipment manufacturers and aftermarket distributors in North America and Europe.",0.16,2.37,0.24,0.14,0.15,1.57,2.94,6.04,12.3,7.52,SUP
43,43,43,Visteon Corp.,AUTO SUPPLIERS,[4] Significant,[4] Moderately high risk,"Visteon Corporation, an automotive technology company, designs, manufactures, and sells automotive electronics and connected car solutions for vehicle manufacturers worldwide.",0.6,0.0,-3.81,-2.03,-3.77,15.7,25.3,7.36,9.91,12.9,VC
44,44,44,Wabash National Corp.,AUTO SUPPLIERS,[5] Aggressive,[4] Moderately high risk,"Wabash National Corporation provides connected solutions for the transportation, logistics, and distribution industries primarily in the United States.",0.75,0.68,1.28,0.89,1.26,16.1,18.4,12.3,14.1,21.7,WNC
45,45,45,Altria Group Inc.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States.",,1.83,,,,,12.5,58.8,60.1,33.1,MO
46,46,46,B&G Foods Inc.,BRANDED NONDURABLES,[6] Highly leveraged,[2] Low risk,"B&G Foods, Inc. manufactures, sells, and distributes a portfolio of shelf-stable and frozen foods, and household products in the United States, Canada, and Puerto Rico. The company’s products include frozen and canned vegetables, vegetables, canola and other cooking oils, vegetable shortening, cooking sprays, oatmeal and other hot cereals, fruit spreads, canned meats and beans, bagel chips, spices, seasonings, hot sauces, wine vinegar, maple syrups, molasses, salad dressings, pizza crusts, Mexican-style sauces, dry soups, taco shells and kits, salsas, pickles, peppers, tomato-based products, baking powder and soda, cookies and crackers, corn starch, nut clusters, and other specialty products.",0.08,6.54,0.09,0.08,0.11,1.43,2.28,11.6,15.0,4.52,BGS
47,47,47,BellRing Brands Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"BellRing Brands, Inc., together with its subsidiaries, provides various nutrition products in the United States.",0.3,2.25,0.31,0.31,0.42,3.89,5.15,17.9,19.1,34.2,BRBR
48,48,48,Brown-Forman Corp.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,"Brown-Forman Corporation, together with its subsidiaries, manufactures, distills, bottles, imports, exports, markets, and sells various alcoholic beverages.",0.14,2.01,0.16,0.08,0.25,3.73,12.1,29.1,31.0,12.9,BF-B
49,49,49,Campbell Soup Co.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Campbell Soup Company, together with its subsidiaries, manufactures and markets food and beverage products in the United States and internationally.",0.22,2.32,0.23,0.14,0.26,5.74,11.1,14.7,18.8,9.89,CPB
50,50,50,Carter's Inc.,BRANDED NONDURABLES,[2] Modest,[3] Intermediate risk,"Carter's, Inc., together with its subsidiaries, designs, sources, and markets branded childrenswear under the Carter's, OshKosh, Skip Hop, Child of Mine, Just One You, Simple Joys, little planet, and other brands in the United States and internationally.",0.49,1.19,0.72,0.64,0.94,15.6,18.1,11.0,13.2,10.4,CRI
51,51,51,Central Garden & Pet Co.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Central Garden & Pet Company produces and distributes various products for the lawn and garden, and pet supplies markets in the United States.",0.27,2.52,0.42,0.37,0.41,6.6,7.24,7.23,9.9,5.42,CENT
52,52,52,Church & Dwight Co. Inc.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products.",0.4,1.75,0.46,0.36,0.61,9.29,11.6,18.0,21.4,10.3,CHD
53,53,53,Clorox Co.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,The Clorox Company manufactures and markets consumer and professional products worldwide.,0.3,2.19,0.36,0.28,0.51,10.3,13.8,11.7,14.8,15.4,CLX
54,54,54,Coca-Cola Co. (The),BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide.",0.26,2.08,0.38,0.32,0.65,7.6,9.72,29.1,31.6,11.9,KO
55,55,55,Coca-Cola Consolidated Inc.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,"Coca-Cola Consolidated, Inc., together with its subsidiaries, manufactures, markets, and distributes nonalcoholic beverages primarily products of The Coca-Cola Company in the United States.",1.1,0.1,8.12,5.29,5.76,,,12.5,15.1,25.7,COKE
56,56,56,Colgate-Palmolive Co.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products in the United States and internationally.",0.41,1.7,0.47,0.38,0.75,13.0,16.3,20.3,23.2,24.5,CL
57,57,57,Conagra Brands Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Conagra Brands, Inc., together with its subsidiaries, operates as a consumer packaged goods food company primarily in the United States.",0.17,3.97,0.17,0.12,0.19,3.56,5.21,15.6,18.7,6.5,CAG
58,58,58,Constellation Brands Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, markets, and sells beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy.",0.24,3.04,0.22,0.12,0.22,6.27,8.5,31.7,36.1,9.19,STZ
59,59,59,Coty Inc.,BRANDED NONDURABLES,[5] Aggressive,[2] Low risk,"Coty Inc., together with its subsidiaries, manufactures, markets, distributes, and sells beauty products worldwide.",0.15,3.03,0.14,0.08,0.08,2.2,4.39,10.7,17.8,4.66,COTY
60,60,60,Crocs Inc.,BRANDED NONDURABLES,[3] Intermediate,[3] Intermediate risk,"Crocs, Inc., together with its subsidiaries, designs, develops, manufactures, markets, distributes, and sells casual lifestyle footwear and accessories for men, women, and children under Crocs and HEYDUDE Brand in the United States and internationally.",0.47,1.49,0.5,0.44,0.55,5.77,7.67,26.4,27.8,19.0,CROX
61,61,61,Edgewell Personal Care Co.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Edgewell Personal Care Company, together with its subsidiaries, manufactures and markets personal care products worldwide.",0.16,3.99,0.19,0.15,0.24,2.93,4.03,10.1,13.9,4.73,EPC
62,62,62,Energizer Holdings Inc.,BRANDED NONDURABLES,[6] Highly leveraged,[2] Low risk,"Energizer Holdings, Inc., together with its subsidiaries, manufactures, markets, and distributes household batteries, specialty batteries, and lighting products worldwide.",0.12,5.56,0.13,0.11,0.13,2.48,3.43,15.3,18.9,7.57,ENR
63,63,63,Flowers Foods Inc.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Flowers Foods, Inc. produces and markets packaged bakery food products in the United States.",0.26,2.25,0.26,0.17,0.35,9.54,16.1,6.88,9.55,8.2,FLO
64,64,64,Fossil Group Inc.,BRANDED NONDURABLES,[5] Aggressive,[2] Low risk,"Fossil Group, Inc., together with its subsidiaries, designs, develops, markets, and distributes consumer fashion accessories in the United States, Europe, Asia, and internationally.",-0.01,9.03,-0.02,-0.07,-0.07,-0.18,1.65,-5.39,-4.04,-6.26,FOSL
65,65,65,General Mills Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"General Mills, Inc. manufactures and markets branded consumer foods worldwide.",0.24,2.83,0.27,0.2,0.48,6.81,9.42,17.6,20.3,10.0,GIS
66,66,66,G-III Apparel Group Ltd.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"G-III Apparel Group, Ltd. designs, sources, and markets women’s and men’s apparel in the United States and internationally.",0.77,1.22,0.78,0.75,0.82,11.1,8.53,9.23,10.1,7.45,GIII
67,67,67,Hanesbrands Inc.,BRANDED NONDURABLES,[5] Aggressive,[2] Low risk,"Hanesbrands Inc., a consumer goods company, designs, manufactures, sources, and sells a range of range of innerwear apparels for men, women, and children in the Americas, Europe, the Asia pacific, and internationally.",0.15,5.04,0.16,0.15,0.15,2.02,2.54,6.44,8.31,5.11,HBI
68,68,68,Hershey Co. (The),BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally.",0.45,1.57,0.49,0.33,0.58,14.4,18.6,22.7,26.4,17.9,HSY
69,69,69,Hormel Foods Corp.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,"Hormel Foods Corporation develops, processes, and distributes various meat, nuts, and other food products to retail, foodservice, deli, and commercial customers in the United States and internationally.",0.3,1.45,0.39,0.29,0.51,14.3,25.3,8.73,10.8,5.98,HRL
70,70,70,International Flavors & Fragrances Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"International Flavors & Fragrances Inc., together with its subsidiaries, manufactures and sells cosmetic active and natural health ingredients for use in various consumer products in Europe, Africa, the Middle East, Greater Asia, North America, and Latin America.",0.14,4.88,0.15,0.1,0.19,3.79,5.07,6.82,16.8,1.81,IFF
71,71,71,Kenvue Inc.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,Kenvue Inc. operates as a consumer health company worldwide.,,2.0,,,,,12.9,19.7,23.6,9.64,KVUE
72,72,72,Keurig Dr Pepper Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Keurig Dr Pepper Inc. owns, manufactures, and distributors beverages and single serve brewing systems in the United States and internationally.",0.09,3.58,0.09,0.06,0.19,2.68,8.35,21.7,26.6,5.05,KDP
73,73,73,Kimberly-Clark Corp.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care and consumer tissue products in the United States.",0.42,1.84,0.48,0.38,0.62,12.1,13.7,14.0,17.7,18.4,KMB
74,74,74,Kontoor Brands Inc.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"Kontoor Brands, Inc., a lifestyle apparel company, designs, produces, procures, markets, distributes, and licenses denim, apparel, footwear, and accessories, primarily under the Wrangler and Lee brands.",0.26,1.93,0.28,0.24,0.38,5.43,9.95,12.6,14.0,18.3,KTB
75,75,75,Kraft Heinz Co. (The),BRANDED NONDURABLES,[4] Significant,[2] Low risk,"The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in North America and internationally.",0.19,2.67,0.21,0.15,0.28,4.36,7.87,20.3,23.9,4.83,KHC
76,76,76,Levi Strauss & Co.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,"Levi Strauss & Co. designs, markets, and sells apparels and related accessories for men, women, and children worldwide.",0.2,1.72,0.24,0.07,0.19,9.49,22.6,8.0,10.7,7.51,LEVI
77,77,77,Molson Coors Beverage Co.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Molson Coors Beverage Company manufactures, markets, and sells beer and other malt beverage products under various brands in the Americas, Europe, the Middle East, Africa, and the Asia Pacific.",0.32,2.36,0.37,0.25,0.35,8.89,10.1,13.7,19.5,5.06,TAP-A
78,78,78,Mondelez International Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products in the Latin America, North America, Asia, the Middle East, Africa, and Europe.",0.23,2.24,0.26,0.2,0.4,8.73,15.2,16.6,20.0,7.54,MDLZ
79,79,79,Nathan's Famous Inc.,BRANDED NONDURABLES,[6] Highly leveraged,[2] Low risk,"Nathan's Famous, Inc., together with its subsidiaries, operates in the foodservice industry.",0.3,1.37,0.36,0.35,0.5,3.28,5.95,23.4,24.3,39.5,NATH
80,80,80,Newell Brands Inc.,BRANDED NONDURABLES,[5] Aggressive,[3] Intermediate risk,"Newell Brands Inc. engages in the design, manufacture, sourcing, and distribution of consumer and commercial products worldwide.",0.17,5.41,0.18,0.12,0.16,3.29,3.45,5.48,9.59,3.04,NWL
81,81,81,Nike Inc.,BRANDED NONDURABLES,[1] Minimal,[2] Low risk,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, accessories, and services worldwide.",0.59,0.29,4.92,4.29,9.3,25.6,27.6,11.8,13.2,14.0,NKE
82,82,82,PepsiCo Inc.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,"PepsiCo, Inc. engages in the manufacture, marketing, distribution, and sale of various beverages and convenient foods worldwide.",0.29,2.09,0.36,0.21,0.42,15.6,20.6,14.8,17.9,13.6,PEP
83,83,83,PetIQ Inc.,BRANDED NONDURABLES,[6] Highly leveraged,[2] Low risk,"PetIQ, Inc. operates as a pet medication and wellness company in the United States and internationally.",0.24,3.1,0.31,0.28,0.29,3.28,3.15,5.58,9.52,5.34,PETQ
84,84,84,Post Holdings Inc.,BRANDED NONDURABLES,[6] Highly leveraged,[2] Low risk,"Post Holdings, Inc. operates as a consumer packaged goods holding company in the United States and internationally.",0.13,5.07,0.13,0.08,0.2,2.9,4.27,9.89,15.7,4.58,POST
85,85,85,Procter & Gamble Co.,BRANDED NONDURABLES,[2] Modest,[2] Low risk,The Procter & Gamble Company provides branded consumer packaged goods worldwide.,0.57,1.08,0.71,0.59,1.06,20.6,25.7,24.9,28.3,16.1,PG
86,86,86,PVH Corp.,BRANDED NONDURABLES,[3] Intermediate,[2] Low risk,PVH Corp. operates as an apparel company in the United States and internationally.,0.17,1.99,0.19,0.11,0.23,6.32,16.8,9.28,12.4,6.22,PVH
87,87,87,Ralph Lauren Corp.,BRANDED NONDURABLES,[1] Minimal,[2] Low risk,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally.",0.35,0.53,0.73,0.59,1.02,25.5,42.3,11.3,14.8,8.76,RL
88,88,88,Reynolds Consumer Products Inc.,BRANDED NONDURABLES,[4] Significant,[2] Low risk,"Reynolds Consumer Products Inc. produces and sells products in cooking, waste and storage, and tableware product categories in the United States and internationally.",0.34,2.72,0.36,0.3,0.41,5.5,5.63,13.6,16.9,8.07,REYN
